"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"evm.model.tig082700000020.652",1424.72541725954,-4.35099696483369,0.512424976083143,-8.49099315589902,2.04878638085329e-17,3.65257635978524e-13
"evm.model.tig082700002120.345",2249.68273383063,-6.95175214650586,0.888424575159861,-7.82480847657212,5.0843035415156e-15,4.53214817690701e-11
"evm.model.tig082700000340.16",2652.32392161151,6.62679396411681,0.898602363996664,7.37455656653649,1.64892956432478e-13,9.79903875759405e-10
"evm.model.tig082700000272.66",98.9048801277675,-6.06164940176856,0.829326729599172,-7.309120983835,2.68895584488783e-13,1.19846762006651e-09
"evm.model.tig082700000122.158",120.109677505174,10.3893105001436,1.45490116280526,7.14090466469318,9.27186444797456e-13,3.30597598756981e-09
"evm.model.tig082700000383.2",567.249288502965,-2.15524849689718,0.31553621891993,-6.83043139793754,8.46596571424549e-12,2.51552061255948e-08
"evm.model.tig082700000328.18",2996.84342920157,5.66459499612179,0.83673376481106,6.76988934156481,1.28880932763587e-11,3.28241324187033e-08
"evm.model.tig082700000196.73",198.606471382399,-11.0770791448385,1.65512618455983,-6.69258890843081,2.19256450128987e-11,4.88612999112448e-08
"evm.model.tig082700000075.249",80.8813723891766,-9.78801715079053,1.48737633028812,-6.58072671419646,4.68154382367572e-11,9.27361814316565e-08
"evm.model.tig082700000075.303",63.1543604042444,9.46245210309103,1.48380766208646,6.37714196042457,1.80423208434385e-10,3.21658495996821e-07
"evm.model.tig082700000210.5",76.327461828055,-9.70252964504571,1.53419746628648,-6.32417264286758,2.5459295820154e-10,4.1262575080155e-07
"evm.model.tig082700000365.16",1153.80874942043,13.6558322809375,2.16905060728919,6.29576471616039,3.05888053151751e-10,4.54447684299117e-07
"evm.model.tig082700000075.587",43.0724614107926,-8.88181301346013,1.42166144396541,-6.24748814224451,4.17105937819768e-10,5.72012666111602e-07
"evm.model.tig082700000227.7",255.676015567858,10.5187259868582,1.69657964312398,6.19996003694211,5.64774995351881e-10,7.19200615509523e-07
"evm.model.tig082700000254.71",54.2956563532032,-5.66587606338928,0.919963227130614,-6.15880710912899,7.32949344918806e-10,8.1668880757578e-07
"evm.model.tig082700002117.291",7993.49479747206,6.73988393252724,1.09261788243787,6.16856454654494,6.89127188841206e-10,8.1668880757578e-07
"evm.model.tig082700000367.4",235.491490726539,11.3642544967474,1.85073778521293,6.1403914630942,8.23183644795444e-10,8.63277530553717e-07
"evm.model.tig082700000227.76",1533.47530776671,-6.10157445189903,0.997539146931559,-6.11662657116519,9.55769790238664e-10,9.46636878909717e-07
"evm.model.tig082700000096.382",36.5038884387466,-8.64291975463794,1.41816537664005,-6.09443714887114,1.09823169932893e-09,9.65702928250642e-07
"evm.model.tig082700000122.174",39.5383557398354,-8.75768487314359,1.43775337121285,-6.09122889119422,1.1204721088118e-09,9.65702928250642e-07
"evm.model.tig082700000246.27",887.113153605024,2.82901368594828,0.464624979423946,6.08881100076832,1.13752308129142e-09,9.65702928250642e-07
"evm.model.tig082700000187.111",42.5223409891886,-5.19153476327128,0.866679598788599,-5.99014303616671,2.09656563565645e-09,1.6989805523856e-06
"evm.model.tig082700000153.283",35.4072178373665,-8.59828301875398,1.44054078194241,-5.96878833736323,2.39021945604773e-09,1.85273184619213e-06
"evm.model.tig082700000113.281",178.013445505871,-5.81320103585612,0.978864112278719,-5.93872117992297,2.87253919171501e-09,2.11125453074409e-06
"evm.model.tig082700000318.83",303.045309987465,-2.35789440867633,0.397368775126615,-5.93376872132197,2.96058802269476e-09,2.11125453074409e-06
"evm.model.tig082700000283.35",1293.37368045142,6.4237071974753,1.09093337601902,5.88826718357118,3.90265828256812e-09,2.67602276390863e-06
"evm.model.tig082700000016.802",45.2682000168531,8.97704981995296,1.52939147291814,5.86968737495601,4.36617650020988e-09,2.78000695163363e-06
"evm.model.tig082700000383.1",3663.83645208202,-2.68067911691148,0.456257333069955,-5.87536664643693,4.21908487320094e-09,2.78000695163363e-06
"evm.model.tig082700000187.91",1267.95127269355,7.08737343501664,1.21698643705811,5.82370782385165,5.7556162984291e-09,3.53831473684117e-06
"evm.model.tig082700000444.9",45.3192841370499,8.97395151801155,1.5511514387531,5.78534841525549,7.23621883765665e-09,4.30024364792476e-06
"evm.model.tig082700000180.36",2415.71510352463,5.05248353589108,0.882644259284987,5.72425808330075,1.03886723236309e-08,5.9744919414739e-06
"evm.model.tig082700000075.158",48.8700232723405,-5.39798959446954,0.950927802664111,-5.67655039567313,1.37438078076492e-08,7.65701892483657e-06
"evm.model.tig082700000210.105",169.625429038679,-2.71300153267355,0.479303140296035,-5.66030410524309,1.51104986827269e-08,8.16333243986833e-06
"evm.model.tig082700000160.175",1693.46238435692,9.86144524161198,1.74613179285688,5.64759503375028,1.62707896024082e-08,8.53163638328628e-06
"evm.model.tig082700000334.2",38.8081427302537,-8.72657179086337,1.54744523940173,-5.63934126304671,1.70701931047216e-08,8.69506864774221e-06
"evm.model.tig082700000149.79",63.7003544980169,9.48294280788792,1.69505868012227,5.59446284609092,2.21305852746503e-08,1.09595576187907e-05
"evm.model.tig082700000132.16",32.3208321944665,-8.46194367965241,1.51482274986782,-5.58609492786583,2.32232326997945e-08,1.1189832231674e-05
"evm.model.tig082700000292.40",40.5761758489591,-4.8436762131181,0.871990176155172,-5.55473713531397,2.78029836099534e-08,1.30439892578487e-05
"evm.model.tig082700000016.844",381.563784520098,3.24517472003964,0.585903376672284,5.53875408343102,3.04631042972692e-08,1.32462493515052e-05
"evm.model.tig082700000074.76",28.098563300865,-8.26128292322873,1.49059100009827,-5.54228686654091,2.98546679278462e-08,1.32462493515052e-05
"evm.model.tig082700002117.562",49.1212928110946,-4.27807999709652,0.771793405326198,-5.54303777095425,2.9726870619758e-08,1.32462493515052e-05
"evm.model.tig082700000184.67",27.837656213737,-5.35550942410834,0.96868365494106,-5.52864642320635,3.22711013383008e-08,1.34748047818094e-05
"evm.model.tig082700000381.16",5576.19645930654,6.96967751833581,1.26093141439015,5.52740413855635,3.25003705192846e-08,1.34748047818094e-05
"evm.model.tig082700000139.233",45.9069222255882,-6.40912264006427,1.1733796120123,-5.46210499522222,4.70521637753802e-08,1.90646812678972e-05
"evm.model.tig082700000208.138",330.340241211927,-2.20779097481357,0.40524387642398,-5.44805511756506,5.09235792720522e-08,2.01747904724922e-05
"evm.model.tig082700000020.378",142.248808348202,-2.54101479049295,0.467734691287071,-5.43259851755021,5.55392722336342e-08,2.15250901169833e-05
"evm.model.tig082700000136.58",34.3641151409588,-8.54773905214567,1.57667050397493,-5.42138578136398,5.91387783469332e-08,2.24324710716835e-05
"evm.model.tig082700000106.186",24.2882725067611,-8.05199867685071,1.48979214667861,-5.40477991832759,6.48880157215439e-08,2.41004905059101e-05
"evm.model.tig082700000071.80",1224.54864755491,2.51164588375851,0.465150353645726,5.39964307040271,6.67736143110106e-08,2.42946937946265e-05
"evm.model.tig082700002118.103",79.5513032587994,-3.76753934037941,0.698533560808952,-5.39349796739377,6.90991078179056e-08,2.46379778835524e-05
"evm.model.tig082700000106.360",1095.06644618177,-4.59191280758186,0.85272950186026,-5.38495829869195,7.24614462545933e-08,2.53302483103312e-05
"evm.model.tig082700000174.65",23.8306389359632,-8.02419183316923,1.51255108935593,-5.3050716036217,1.12628776831565e-07,3.77415111385323e-05
"evm.model.tig082700000383.16",70.5759725744185,2.34012797164465,0.441337294448676,5.30235717914563,1.14316894855326e-07,3.77415111385323e-05
"evm.model.tig082700031375.22",61.1755330658572,-4.43704356117015,0.836632710286594,-5.30345455851256,1.13631499754171e-07,3.77415111385323e-05
"evm.model.tig082700000020.462",28.6670424786094,-8.28893527771424,1.56886360758301,-5.28340082442485,1.26807525285344e-07,4.1104082923402e-05
"evm.model.tig082700000215.122",33.8073031817552,-8.5250104320778,1.61533952575265,-5.2775347202042,1.30933402025774e-07,4.16835837734912e-05
"evm.model.tig082700000225.93",346.780185041018,-2.42550928636952,0.460145139249363,-5.27118311045568,1.35547154846668e-07,4.2328224376414e-05
